filename, language, Makefile, C, C++, Assembler file, Python, comment, blank, total
c:\Users\代凡\Documents\代码\system\lindorx\include\sysio.h, C++, 0, 0, 39, 0, 0, 35, 11, 85
c:\Users\代凡\Documents\代码\system\lindorx\include\task.h, C++, 0, 0, 28, 0, 0, 9, 9, 46
c:\Users\代凡\Documents\代码\system\lindorx\include\test.h, C++, 0, 0, 2, 0, 0, 0, 0, 2
c:\Users\代凡\Documents\代码\system\lindorx\include\time.h, C++, 0, 0, 42, 0, 0, 5, 5, 52
c:\Users\代凡\Documents\代码\system\lindorx\include\traps.h, C++, 0, 0, 27, 0, 0, 6, 6, 39
c:\Users\代凡\Documents\代码\system\lindorx\include\tss.h, C++, 0, 0, 46, 0, 0, 6, 2, 54
c:\Users\代凡\Documents\代码\system\lindorx\include\type.h, C++, 0, 0, 13, 0, 0, 0, 4, 17
c:\Users\代凡\Documents\代码\system\lindorx\include\vadefs.h, C++, 0, 0, 13, 0, 0, 5, 0, 18
c:\Users\代凡\Documents\代码\system\lindorx\obj\makefile, Makefile, 7, 0, 0, 0, 0, 3, 4, 14
c:\Users\代凡\Documents\代码\system\lindorx\src\cpu.c, C, 0, 9, 0, 0, 0, 24, 4, 37
c:\Users\代凡\Documents\代码\system\lindorx\src\file.c, C, 0, 0, 0, 0, 0, 1, 0, 1
c:\Users\代凡\Documents\代码\system\lindorx\src\gdt.c, C, 0, 53, 0, 0, 0, 6, 2, 61
c:\Users\代凡\Documents\代码\system\lindorx\src\init.c, C, 0, 75, 0, 0, 0, 68, 24, 167
c:\Users\代凡\Documents\代码\system\lindorx\src\main.c, C, 0, 79, 0, 0, 0, 27, 10, 116
c:\Users\代凡\Documents\代码\system\lindorx\src\makefile, Makefile, 11, 0, 0, 0, 0, 2, 7, 20
c:\Users\代凡\Documents\代码\system\lindorx\src\math.c, C, 0, 30, 0, 0, 0, 3, 4, 37
c:\Users\代凡\Documents\代码\system\lindorx\src\memory.c, C, 0, 231, 0, 0, 0, 67, 24, 322
c:\Users\代凡\Documents\代码\system\lindorx\src\mp.c, C, 0, 124, 0, 0, 0, 12, 14, 150
c:\Users\代凡\Documents\代码\system\lindorx\src\page.c, C, 0, 50, 0, 0, 0, 16, 5, 71
c:\Users\代凡\Documents\代码\system\lindorx\src\pid.c, C, 0, 0, 0, 0, 0, 1, 0, 1
c:\Users\代凡\Documents\代码\system\lindorx\src\pro.c, C, 0, 24, 0, 0, 0, 12, 5, 41
c:\Users\代凡\Documents\代码\system\lindorx\src\public.c, C, 0, 2, 0, 0, 0, 1, 2, 5
c:\Users\代凡\Documents\代码\system\lindorx\src\string.c, C, 0, 31, 0, 0, 0, 3, 2, 36
c:\Users\代凡\Documents\代码\system\lindorx\src\syscall.c, C, 0, 0, 0, 0, 0, 1, 1, 2
c:\Users\代凡\Documents\代码\system\lindorx\src\sysio.c, C, 0, 300, 0, 0, 0, 44, 13, 357
c:\Users\代凡\Documents\代码\system\lindorx\src\task.c, C, 0, 138, 0, 0, 0, 25, 16, 179
c:\Users\代凡\Documents\代码\system\lindorx\src\test.c, C, 0, 12, 0, 0, 0, 1, 2, 15
c:\Users\代凡\Documents\代码\system\lindorx\src\time.c, C, 0, 106, 0, 0, 0, 16, 4, 126
Total, -, 139, 3485, 3908, 1245, 29, 1404, 1334, 11544
